Id,CustomerId,FirstName,LastName,City,Email,SubscriptionDate
91,455,Kyle,Harrison,New Samantha,ronaldwhite@example.com,2024-04-08
92,439,Zachary,Ramirez,West Anthonyton,julia05@example.com,2024-04-23
93,62,Wesley,Hunt,Lake Adam,petersenjoseph@example.org,2024-02-08
94,53,Jessica,Bowers,Donnafort,wrightdave@example.net,2024-05-02
95,357,Ronald,Estrada,Victoriaberg,justinduarte@example.com,2024-03-09
96,480,Katherine,Rowland,New Jesus,christine16@example.net,2024-04-21
97,483,Tracy,Clark,New Josephshire,clarketyler@example.net,2024-03-21
98,173,Albert,Jackson,New Amberview,murphyricky@example.net,2024-04-13
99,164,Amber,Gonzalez,East Codyville,stewartphilip@example.net,2024-06-10
100,384,Jerry,Cruz,Cathyfort,butlerjohn@example.com,2024-05-25
